,permalink,name,category_code,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at,last_milestone_at,not_closed,cat_list
0,/company/1000memories,1000memories,web,2535000.0,acquired,USA,CA,SF Bay,San Francisco,2,2010-07-01,2010-07,2010-Q3,2010.0,2010-01-01,2011-02-16,2013-07-04,1.0,['web']
1,/company/100plus,100Plus,analytics,1250000.0,acquired,USA,CA,SF Bay,San Francisco,2,2011-09-16,2011-09,2011-Q3,2011.0,2011-11-02,2011-11-30,2013-02-27,1.0,['analytics']
2,/company/1010data,1010data,software,35000000.0,operating,USA,NY,New York,New York,1,2000-01-01,2000-01,2000-Q1,2000.0,2010-03-08,2010-03-08,2012-01-01,0.0,['software']
3,/company/10bestthings,10BestThings,web,50000.0,operating,USA,OH,Cleveland,Cleveland,1,2009-04-01,2009-04,2009-Q2,2009.0,2009-04-01,2009-04-01,,0.0,['web']
4,/company/11i-solutions,11i Solutions,enterprise,1800000.0,closed,USA,AL,Huntsville,Huntsville,1,,,,,2011-03-22,2011-03-22,,0.0,['enterprise']
5,/company/1366-technologies,1366 Technologies,manufacturing,48950000.0,operating,USA,MA,Boston,Lexington,6,2007-01-01,2007-01,2007-Q1,2007.0,2008-03-27,2011-02-07,2011-06-17,0.0,['manufacturing']
6,/company/140fire,140Fire,advertising,500000.0,operating,USA,CA,Los Angeles,Santa Monica,1,2010-01-01,2010-01,2010-Q1,2010.0,2010-05-05,2010-05-05,2011-02-24,0.0,['advertising']
7,/company/169-st,169 ST.,games_video,50000.0,operating,USA,FL,Orlando,Lake Mary,1,2009-05-15,2009-05,2009-Q2,2009.0,2009-06-01,2009-06-01,2009-05-01,0.0,['games_video']
8,/company/170-systems,170 Systems,software,14000000.0,acquired,USA,MA,Boston,Bedford,1,1990-01-01,1990-01,1990-Q1,1990.0,2002-04-16,2002-04-16,2003-01-01,1.0,['software']
9,/company/1daymakeover,1DayMakeover,ecommerce,50000.0,operating,USA,CA,Los Angeles,Santa Ana,1,2008-06-30,2008-06,2008-Q2,2008.0,2008-06-30,2008-06-30,,0.0,['ecommerce']
10,/company/20x200,20x200,ecommerce,2800000.0,operating,USA,NY,New York,New York,2,2007-09-01,2007-09,2007-Q3,2007.0,2009-10-01,2010-08-01,2012-10-01,0.0,['ecommerce']
11,/company/22nd-century-group,22nd Century Group,biotech,4951950.0,ipo,USA,NY,Clarence,Clarence,4,1998-01-01,1998-01,1998-Q1,1998.0,2011-12-28,2013-02-06,2013-07-24,1.0,['biotech']
12,/company/24m-technologies,24M Technologies,cleantech,16000000.0,operating,USA,,Boston,Cambridge,1,2010-01-01,2010-01,2010-Q1,2010.0,2010-08-16,2010-08-16,2011-03-02,0.0,['cleantech']
13,/company/27-perry,27 Perry,ecommerce,118000.0,closed,USA,CO,Denver,Boulder,1,2012-07-25,2012-07,2012-Q3,2012.0,2012-05-17,2012-05-17,2012-07-25,0.0,['ecommerce']
14,/company/2go-software-solutions,2GO Mobile Solutions,software,825000.0,operating,USA,TX,Dallas,Plano,1,2008-01-01,2008-01,2008-Q1,2008.0,2010-01-09,2010-01-09,2009-08-01,0.0,['software']
